nohup: ignoring input
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
2 genes have N, so will be excluded
number of params: 241946
Start training
Epoch: [0]  [ 9000/36102]  eta: 0:38:50  accuracy: 0.5000 (0.5217)  precision: 0.0000 (0.1038)  recall: 0.0000 (0.0915)  F2: 0.0000 (0.0912)  specificity: 1.0000 (0.6889)  NPV: 0.5000 (0.5098)  loss: 0.6992 (0.6925)  time: 0.0916  data: 0.0011  max mem: 1291
Epoch: [0]  [ 9500/36102]  eta: 0:38:07  accuracy: 0.5000 (0.5222)  precision: 1.0000 (0.1100)  recall: 0.5000 (0.0957)  F2: 0.5556 (0.0957)  specificity: 1.0000 (0.6860)  NPV: 0.5000 (0.5105)  loss: 0.6802 (0.6924)  time: 0.0828  data: 0.0011  max mem: 1291
Epoch: [0]  [10000/36102]  eta: 0:37:24  accuracy: 0.5000 (0.5205)  precision: 0.0000 (0.1126)  recall: 0.0000 (0.0972)  F2: 0.0000 (0.0974)  specificity: 0.5000 (0.6829)  NPV: 0.5000 (0.5104)  loss: 0.6812 (0.6925)  time: 0.0835  data: 0.0011  max mem: 1291
Epoch: [0]  [10500/36102]  eta: 0:36:47  accuracy: 0.5000 (0.5204)  precision: 0.0000 (0.1208)  recall: 0.0000 (0.1049)  F2: 0.0000 (0.1049)  specificity: 1.0000 (0.6758)  NPV: 0.5000 (0.5097)  loss: 0.6843 (0.6925)  time: 0.0830  data: 0.0011  max mem: 1291
Epoch: [0]  [11000/36102]  eta: 0:36:05  accuracy: 0.5000 (0.5207)  precision: 0.0000 (0.1186)  recall: 0.0000 (0.1025)  F2: 0.0000 (0.1026)  specificity: 1.0000 (0.6785)  NPV: 0.5000 (0.5103)  loss: 0.6918 (0.6925)  time: 0.0852  data: 0.0011  max mem: 1291
Epoch: [0]  [11500/36102]  eta: 0:35:22  accuracy: 0.5000 (0.5197)  precision: 0.0000 (0.1154)  recall: 0.0000 (0.0995)  F2: 0.0000 (0.0996)  specificity: 1.0000 (0.6808)  NPV: 0.5000 (0.5100)  loss: 0.6935 (0.6926)  time: 0.0872  data: 0.0011  max mem: 1291
Epoch: [0]  [12000/36102]  eta: 0:34:39  accuracy: 0.5000 (0.5191)  precision: 0.5000 (0.1255)  recall: 0.5000 (0.1094)  F2: 0.5556 (0.1093)  specificity: 0.0000 (0.6706)  NPV: 0.0000 (0.5059)  loss: 0.6912 (0.6926)  time: 0.0837  data: 0.0011  max mem: 1291
Epoch: [0]  [12500/36102]  eta: 0:33:57  accuracy: 0.5000 (0.5198)  precision: 0.0000 (0.1264)  recall: 0.0000 (0.1100)  F2: 0.0000 (0.1099)  specificity: 1.0000 (0.6705)  NPV: 0.5000 (0.5073)  loss: 0.6969 (0.6926)  time: 0.0896  data: 0.0030  max mem: 1291
Epoch: [0]  [13000/36102]  eta: 0:33:13  accuracy: 0.5000 (0.5203)  precision: 0.0000 (0.1313)  recall: 0.0000 (0.1141)  F2: 0.0000 (0.1141)  specificity: 1.0000 (0.6675)  NPV: 1.0000 (0.5065)  loss: 0.6797 (0.6926)  time: 0.0856  data: 0.0011  max mem: 1291
Epoch: [0]  [13500/36102]  eta: 0:32:29  accuracy: 0.5000 (0.5200)  precision: 0.0000 (0.1317)  recall: 0.0000 (0.1138)  F2: 0.0000 (0.1140)  specificity: 1.0000 (0.6674)  NPV: 0.5000 (0.5073)  loss: 0.6787 (0.6926)  time: 0.0887  data: 0.0014  max mem: 1291
Epoch: [0]  [14000/36102]  eta: 0:31:46  accuracy: 0.5000 (0.5198)  precision: 0.0000 (0.1341)  recall: 0.0000 (0.1152)  F2: 0.0000 (0.1156)  specificity: 1.0000 (0.6658)  NPV: 0.5000 (0.5075)  loss: 0.6940 (0.6925)  time: 0.0809  data: 0.0012  max mem: 1291
Epoch: [0]  [14500/36102]  eta: 0:31:02  accuracy: 0.5000 (0.5202)  precision: 0.0000 (0.1339)  recall: 0.0000 (0.1147)  F2: 0.0000 (0.1151)  specificity: 1.0000 (0.6667)  NPV: 0.5000 (0.5082)  loss: 0.6948 (0.6925)  time: 0.0846  data: 0.0011  max mem: 1291
Epoch: [0]  [15000/36102]  eta: 0:30:18  accuracy: 0.5000 (0.5198)  precision: 0.0000 (0.1327)  recall: 0.0000 (0.1133)  F2: 0.0000 (0.1138)  specificity: 1.0000 (0.6673)  NPV: 0.5000 (0.5083)  loss: 0.6897 (0.6925)  time: 0.0846  data: 0.0022  max mem: 1291
Epoch: [0]  [15500/36102]  eta: 0:29:35  accuracy: 0.5000 (0.5198)  precision: 0.0000 (0.1354)  recall: 0.0000 (0.1149)  F2: 0.0000 (0.1155)  specificity: 1.0000 (0.6656)  NPV: 0.5000 (0.5085)  loss: 0.6977 (0.6925)  time: 0.0841  data: 0.0010  max mem: 1291
Epoch: [0]  [16000/36102]  eta: 0:28:52  accuracy: 0.5000 (0.5197)  precision: 0.0000 (0.1369)  recall: 0.0000 (0.1157)  F2: 0.0000 (0.1165)  specificity: 1.0000 (0.6650)  NPV: 1.0000 (0.5088)  loss: 0.6875 (0.6925)  time: 0.0867  data: 0.0010  max mem: 1291
Epoch: [0]  [16500/36102]  eta: 0:28:08  accuracy: 0.5000 (0.5197)  precision: 0.0000 (0.1401)  recall: 0.0000 (0.1178)  F2: 0.0000 (0.1188)  specificity: 1.0000 (0.6628)  NPV: 0.5000 (0.5088)  loss: 0.6841 (0.6925)  time: 0.0837  data: 0.0010  max mem: 1291
Epoch: [0]  [17000/36102]  eta: 0:27:24  accuracy: 0.5000 (0.5199)  precision: 0.0000 (0.1386)  recall: 0.0000 (0.1163)  F2: 0.0000 (0.1172)  specificity: 1.0000 (0.6643)  NPV: 0.5000 (0.5094)  loss: 0.6923 (0.6924)  time: 0.0799  data: 0.0010  max mem: 1291
Epoch: [0]  [17500/36102]  eta: 0:26:41  accuracy: 0.5000 (0.5199)  precision: 0.0000 (0.1388)  recall: 0.0000 (0.1161)  F2: 0.0000 (0.1171)  specificity: 1.0000 (0.6644)  NPV: 0.5000 (0.5091)  loss: 0.6932 (0.6925)  time: 0.0882  data: 0.0010  max mem: 1291
Epoch: [0]  [18000/36102]  eta: 0:25:57  accuracy: 0.5000 (0.5206)  precision: 0.0000 (0.1396)  recall: 0.0000 (0.1161)  F2: 0.0000 (0.1173)  specificity: 0.5000 (0.6648)  NPV: 0.5000 (0.5097)  loss: 0.7038 (0.6923)  time: 0.0809  data: 0.0011  max mem: 1291
Epoch: [0]  [18500/36102]  eta: 0:25:14  accuracy: 0.5000 (0.5206)  precision: 0.0000 (0.1393)  recall: 0.0000 (0.1158)  F2: 0.0000 (0.1170)  specificity: 1.0000 (0.6652)  NPV: 0.5000 (0.5103)  loss: 0.6866 (0.6923)  time: 0.0811  data: 0.0010  max mem: 1291
Epoch: [0]  [19000/36102]  eta: 0:24:30  accuracy: 0.5000 (0.5209)  precision: 0.0000 (0.1376)  recall: 0.0000 (0.1143)  F2: 0.0000 (0.1155)  specificity: 1.0000 (0.6673)  NPV: 0.5000 (0.5106)  loss: 0.6947 (0.6923)  time: 0.0835  data: 0.0010  max mem: 1291
Epoch: [0]  [19500/36102]  eta: 0:23:47  accuracy: 0.5000 (0.5216)  precision: 0.0000 (0.1370)  recall: 0.0000 (0.1137)  F2: 0.0000 (0.1149)  specificity: 1.0000 (0.6685)  NPV: 0.5000 (0.5115)  loss: 0.6843 (0.6921)  time: 0.0862  data: 0.0011  max mem: 1291
Epoch: [0]  [20000/36102]  eta: 0:23:05  accuracy: 0.5000 (0.5218)  precision: 0.0000 (0.1378)  recall: 0.0000 (0.1141)  F2: 0.0000 (0.1155)  specificity: 1.0000 (0.6685)  NPV: 0.5000 (0.5120)  loss: 0.6873 (0.6920)  time: 0.0829  data: 0.0010  max mem: 1291
Epoch: [0]  [20500/36102]  eta: 0:22:23  accuracy: 0.5000 (0.5224)  precision: 0.0000 (0.1376)  recall: 0.0000 (0.1139)  F2: 0.0000 (0.1152)  specificity: 1.0000 (0.6700)  NPV: 0.5000 (0.5127)  loss: 0.6898 (0.6920)  time: 0.0873  data: 0.0010  max mem: 1291
Epoch: [0]  [21000/36102]  eta: 0:21:41  accuracy: 0.5000 (0.5224)  precision: 0.0000 (0.1369)  recall: 0.0000 (0.1131)  F2: 0.0000 (0.1146)  specificity: 1.0000 (0.6703)  NPV: 0.5000 (0.5129)  loss: 0.6915 (0.6920)  time: 0.0806  data: 0.0010  max mem: 1291
